GlaThiDa_ID,SURVEY_FREQUENCY,SURVEY_METHOD,MAXIMUM_THICKNESS
336,4.2,GPRt,270
337,2.5,GPRt,245
338,5,GPRt,170
339,100,GPRa,819
340,100,GPRa,200
341,345,GPRh,140
343,NaN,GPRt,380
344,NaN,GPRt,NaN
345,NaN,GPRt,NaN
347,NaN,GPRt,560
348,2,GPRa,1250
349,2.2,GPRt,700
350,2.2,GPRt,740
351,NaN,SEI,50
352,NaN,GPRt,1050
358,10,GPRt,80
360,50,GPRt,83
361,50,GPRt,158
362,100,GPRt,36
363,25,GPRt,140
364,25,GPRt,110
365,NaN,SEI,220
366,NaN,GPRt,91
367,NaN,GPRt,113
368,NaN,GPRt,113
369,NaN,GPRt,99
370,NaN,GPRt,148
371,NaN,GPRt,109
372,NaN,GPRt,104
373,NaN,GPRt,122
374,NaN,GPRt,143
375,NaN,GPRt,130
376,NaN,GPRt,126
377,NaN,GPRt,108
378,NaN,GPRt,113
379,NaN,GPRt,113
380,NaN,GPRt,122
381,NaN,GPRt,116
382,NaN,GPRt,120
383,NaN,GPRt,128
384,NaN,GPRt,235
385,NaN,GPRt,147
386,NaN,GPRt,125
387,NaN,GPRt,122
388,NaN,GPRt,134
389,NaN,GPRt,130
390,NaN,GPRt,140
391,NaN,GPRt,194
392,NaN,GPRt,148
393,NaN,GPRt,118
394,NaN,GPRt,185
395,NaN,GPRt,156
396,NaN,GPRt,150
397,NaN,GPRt,128
398,NaN,GPRt,130
399,NaN,GPRt,185
400,NaN,GPRt,88
401,NaN,GPRt,92
402,NaN,GPRt,80
403,NaN,GPRt,101
404,NaN,GPRt,97
405,NaN,GPRt,126
406,NaN,GPRt,118
407,NaN,GPRt,76
408,NaN,GPRt,105
409,NaN,GPRt,113
410,NaN,GPRt,100
411,NaN,GPRt,125
412,NaN,GPRt,113
413,NaN,GPRt,109
414,NaN,GPRt,109
415,NaN,GPRt,113
416,NaN,GPRt,92
417,NaN,GPRt,109
418,NaN,GPRt,105
419,NaN,GPRt,134
420,NaN,GPRt,143
421,NaN,GPRt,109
422,5.5,GPRt,180
423,NaN,GPRa,325
424,NaN,GPRa,330
425,NaN,GPRa,295
426,NaN,GPRa,400
427,NaN,GPRa,170
429,NaN,GPRa,320
431,NaN,GPRa,260
433,NaN,GPRa,220
434,NaN,GPRa,140
435,NaN,GPRa,380
437,NaN,GPRa,100
438,NaN,GPRa,315
440,NaN,GPRa,260
442,NaN,GPRa,200
444,NaN,GPRa,260
446,NaN,GPRa,585
448,NaN,GPRa,320
450,NaN,GPRa,250
451,NaN,GPRa,400
453,NaN,GPRa,160
455,NaN,GPRa,430
457,NaN,GPRa,380
458,NaN,GPRa,330
460,NaN,GPRa,320
462,NaN,GPRa,400
463,NaN,GPRa,300
464,NaN,GPRa,556
466,100,GPRt,72
467,NaN,GPRa,420
468,NaN,GPRa,430
469,NaN,GPRa,350
470,NaN,GPRa,350
471,NaN,GPRa,315
472,NaN,GPRa,320
473,NaN,GPRa,450
474,NaN,GPRa,430
475,NaN,GPRa,390
476,NaN,GPRa,380
477,NaN,GPRa,130
478,NaN,GPRa,300
479,NaN,GPRa,380
480,NaN,GPRa,380
481,NaN,GPRa,230
482,NaN,GPRa,230
483,NaN,GPRa,190
484,NaN,GPRa,200
485,NaN,GPRa,400
486,200,GPRt,52
